Date,Fund1,Fund2,Fund3
04/08/2010,1193.69995117188,5386.2001953125,1127.23999023438
05/08/2010,1197.19995117188,5365.7998046875,1125.81005859375
06/08/2010,1203.40002441406,5332.39990234375,1121.64001464844
09/08/2010,1200.69995117188,5410.5,1127.7900390625
10/08/2010,1196.19995117188,5376.39990234375,1121.06005859375
11/08/2010,1197.5,5245.2001953125,1089.46997070313
12/08/2010,1214.80004882813,5266.10009765625,1083.60998535156
13/08/2010,1214.90002441406,5275.39990234375,1079.25
16/08/2010,1224.5,5276.10009765625,1079.38000488281
17/08/2010,1226.59997558594,5350.60009765625,1092.5400390625
18/08/2010,1229.69995117188,5302.89990234375,1094.16003417969
19/08/2010,1233.80004882813,5211.2998046875,1075.63000488281
20/08/2010,1227.19995117188,5195.2998046875,1071.68994140625
23/08/2010,1226.90002441406,5234.7998046875,1067.35998535156
24/08/2010,1231.80004882813,5156,1051.86999511719
25/08/2010,1239.5,5109.39990234375,1055.32995605469
26/08/2010,1235.40002441406,5155.7998046875,1047.21997070312
27/08/2010,1236,5201.60009765625,1064.58996582031
30/08/2010,1237.09997558594,,1048.92004394531
31/08/2010,1248.30004882813,5225.2001953125,1049.32995605469
01/09/2010,1246.30004882813,5366.39990234375,1080.2900390625
02/09/2010,1251.5,5371,1090.09997558594
03/09/2010,1249.19995117188,5428.2001953125,1104.51000976563
06/09/2010,,5439.2001953125,
07/09/2010,1257.30004882813,5407.7998046875,1091.83996582031
08/09/2010,1255.59997558594,5429.7001953125,1098.86999511719
09/09/2010,1248.90002441406,5494.2001953125,1104.18005371094
10/09/2010,1244.5,5501.60009765625,1109.55004882813
13/09/2010,1245.09997558594,5565.5,1121.90002441406
14/09/2010,1269.69995117188,5567.39990234375,1121.09997558594
15/09/2010,1266.69995117188,5555.60009765625,1125.06994628906
16/09/2010,1271.90002441406,5540.10009765625,1124.66003417969
17/09/2010,1275.59997558594,5508.5,1125.58996582031
20/09/2010,1279,5602.5,1142.7099609375
21/09/2010,1272.40002441406,5576.2001953125,1139.78002929688
22/09/2010,1290.19995117188,5551.89990234375,1134.28002929688
23/09/2010,1294.30004882813,5547.10009765625,1124.82995605469
24/09/2010,1296,5598.5,1148.67004394531
27/09/2010,1296.69995117188,5573.39990234375,1142.16003417969
28/09/2010,1306.59997558594,5578.39990234375,1147.69995117188
29/09/2010,1308.5,5569.2998046875,1144.72998046875
30/09/2010,1307.80004882813,5548.60009765625,1141.19995117188
01/10/2010,1316.09997558594,5592.89990234375,1146.23999023438
04/10/2010,1315.40002441406,5556,1137.03002929688
05/10/2010,1338.90002441406,5635.7998046875,1160.75
06/10/2010,1346.40002441406,5681.39990234375,1159.96997070313
07/10/2010,1333.90002441406,5662.10009765625,1158.06005859375
